population of generation: 200
length of gene: 10
range of answer: 1 ~ 1000000
incidence of mutation: 1/200 (0.50%)
worst count of this game: 20


618122a62a(15) 5961212805(16) 6447852a64(16) 8588855763(17) 3678498018(17) 4353996549(18) 53715041a8(18) 2247965354(19) 0520146799(19) 3935462643(19) 
5344446349(15) 5344446349(15) 5354446349(16) 5354446349(16) 5354446349(16) 5354446349(16) 5354446349(16) 5354446349(16) 5354446349(16) 5354446349(16) 
7344444349(15) 7344444349(15) 7344444349(15) 7354442349(17) 7354442349(17) 7344643349(18) 7344643349(18) 7344643349(18) 7344643349(18) 7344643349(18) 
7354446349(15) 7354446349(15) 5344443349(17) 5344446349(17) 5344446349(17) 5344446349(17) 5344446349(17) 5344446349(17) 5344446349(17) 5344446349(17) 
5354643349(17) 5354643349(17) 5354443349(18) 5347644349(18) 5344446349(19) 5344446349(19) 5344446349(19) 5344446349(19) 5344446349(19) 5344446349(19) 
7344443349(13) 7344443349(13) 7359643349(17) 7344445149(18) 7344444349(19) 5344446349(19) 5344446349(19) 5344446349(19) 5344446349(19) 5344446349(19) 
5344444349(10) 7344446349(16) 7344446349(16) 7344446349(16) 7344446349(16) 7344446349(16) 7344446349(16) 7344446349(16) 7344446349(16) 7344446349(16) 
7359446349(18) 7359446349(18) 7359446349(18) 7359446349(18) 5344443349(19) 5344443349(19) 5344443349(19) 5344443349(19) 5344443349(19) 5344443349(19) 
7344446349(12) 7344446349(12) 7344446349(12) 7344446349(12) 7344446349(12) 7344446349(12) 7344446349(12) 7344446349(12) 7344446349(12) 7344446349(12) 
7344446349(16) 7344446349(16) 7344446349(16) 7344446349(16) 7344446349(16) 7344446349(16) 7344446349(16) 7344446349(16) 7344446349(16) 7344446349(16) 
7359446349(15) 7359446349(15) 7344446349(18) 7344446349(18) 7344446349(18) 7344446349(18) 7344446349(18) 7344446349(18) 7344446349(18) 7344446349(18) 
7344443349(13) 7344446349(19) 7344446349(19) 7344446349(19) 7344446349(19) 7344446349(19) 7344446349(19) 7344446349(19) 7344446349(19) 7344446349(19) 
7354446349(17) 7354446349(17) 7354446349(17) 7354446349(17) 7354446349(17) 7344443349(19) 7344443349(19) 7344446349(20) 7344446349(20) 7344446349(20) 
7354446349(18) 7354446349(18) 7354446349(18) 7354446349(18) 7354446349(18) 7354446349(18) 7354446349(18) 7354446349(18) 7354446349(18) 7354446349(18) 
7344443349(21) 7344443349(21) 7344443349(21) 7344443349(21) 7344446349(22) 7344446349(22) 7344446349(22) 7344446349(22) 7344446349(22) 7344446349(22) 
7644446349(16) 7344446349(18) 7344446349(18) 7344446349(18) 7344446349(18) 7344446349(18) 7344446349(18) 7344446349(18) 7344446349(18) 7344446349(18) 
7354446349(19) 7354446349(19) 7344446349(20) 7344446349(20) 7344446349(20) 7344446349(20) 7344446349(20) 7344446349(20) 7344446349(20) 7344446349(20) 
7224546351(20) 7224546351(20) 7224546351(20) 7644446349(21) 7644446349(21) 7644446349(21) 7644446349(21) 7644446349(21) 7644446349(21) 7644446349(21) 
7224546341(16) 7514256749(17) 7344446349(18) 7344446349(18) 7344446349(18) 7344446349(18) 7344446349(18) 7344446349(18) 7344446349(18) 7344446349(18) 
7544546341(17) 7544546351(17) 7244446349(17) 7224446349(17) 7244446349(17) 7244446349(17) 7224446349(17) 7244446349(17) 7244446349(17) 7244446349(17) 
9744446349(18) 9744446349(18) 9744446349(18) 7544446349(19) 7244446349(19) 7244446349(19) 7244446349(19) 7244446349(19) 7244446349(19) 7244446349(19) 
9744446349(18) 9744446349(18) 9744446349(18) 9744446349(18) 9744446349(18) 9744446349(18) 9744446349(18) 9744446349(18) 9744446349(18) 9744446349(18) 
7244546349(13) 7244546349(13) 7244546349(13) 7244546349(13) 9744446349(17) 9744446349(17) 9744446349(17) 9744446349(17) 9744446349(17) 9744446349(17) 
7244546349(17) 7244546349(17) 7244546349(17) 7244546349(17) 7244546349(17) 7244546349(17) 7244546349(17) 7244546349(17) 7244546349(17) 7244546349(17) 
7244546349(19) 7244546349(19) 7244546349(19) 7244546349(19) 7244546349(19) 7244546349(19) 7244546349(19) 7244546349(19) 7244546349(19) 7244546349(19) 
9744446349(16) 9744546349(21) 7244546349(22) 7244546349(22) 7244546349(22) 7244546349(22) 7244546349(22) 7244546349(22) 7244546349(22) 7244546349(22) 
7244446349(20) 7244546349(21) 7244546349(21) 7244546349(21) 7244546349(21) 7244546349(21) 7244546349(21) 7244546349(21) 7244546349(21) 7244546349(21) 
9744546349(15) 9744546349(15) 9744446349(18) 9744446349(18) 9744446349(18) 7744546349(20) 7744546349(20) 7244446349(22) 7244446349(22) 7244446349(22) 
7244446349(21) 7244446349(21) 7244446349(21) 7244446349(21) 7244446349(21) 7244446349(21) 7244446349(21) 7244446349(21) 7244446349(21) 7244446349(21) 
7744546349(20) 9744446349(20) 9744446349(20) 9744446349(20) 7744546349(20) 7744546349(20) 9744446349(20) 7744546349(20) 9744446349(20) 9744446349(20) 
7744546349(19) 7744546349(19) 7744546349(19) 7744546349(19) 7744546349(19) 7244446349(19) 7244446349(19) 7244446349(19) 7244446349(19) 7244446349(19) 
7744566349(18) 7744566349(18) 7744546349(18) 7744546349(18) 7744546349(18) 7744546349(18) 7744546349(18) 7744546349(18) 7744546349(18) 7744546349(18) 
7754436349(14) 7754436349(14) 7754436349(14) 7604566349(16) 7604566349(16) 7604566349(16) 7604566349(16) 7204566349(18) 7204566349(18) 7204566349(18) 
7604566349(17) 7604566349(17) 7604566349(17) 7604566349(17) 7604566349(17) 7604566349(17) 7604566349(17) 7604566349(17) 7604566349(17) 7604566349(17) 
7754536349(17) 7754536349(17) 7604466349(18) 7754466349(19) 7644546349(19) 7644546349(19) 7204566349(20) 7204566349(20) 7204566349(20) 7204566349(20) 
7754566349(19) 7754566349(19) 7644546349(19) 7644546349(19) 7644546349(19) 7644546349(19) 7644546349(19) 7644546349(19) 7644546349(19) 7644546349(19) 
